怪物名稱,等級 ,生命值,基礎經驗,掉落物品
Red Snail (紅寶),4,40,8,Wooden Sword (木劍)
Red Snail (紅寶),4,40,8,Red Potion (紅色藥水)
Red Snail (紅寶),4,40,8,Green Apple (青蘋果)
Red Snail (紅寶),4,40,8,Scroll for Overall Armor for DEX 10% (套服敏捷卷軸10%)
Red Snail (紅寶),4,40,8,Scroll for Cape for Defense 100% (披風防禦力 100% 捲軸)
Red Snail (紅寶),4,40,8,Red Snail Shell (紅寶殼)
Red Snail (紅寶),4,40,8,Silver Ore (銀的母礦)
Red Snail (紅寶),4,40,8,Opal Ore (蛋白石母礦)
Stump (木妖),4,45,8,White Tubetop (白色無肩帶背心)
Stump (木妖),4,45,8,Rookie Pants (紅皮甲褲)
Stump (木妖),4,45,8,Brown High Boots (褐旅行鞋)
Stump (木妖),4,45,8,Bronze Aroa Boots (褐短鞋)
Stump (木妖),4,45,8,Juno (腕甲)
Stump (木妖),4,45,8,Wooden Club (木製棍棒)
Stump (木妖),4,45,8,Triangular Zamadar (三角刃)
Stump (木妖),4,45,8,Composite Bow (鋼鐵弓)
Stump (木妖),4,45,8,Leather Arms (加固皮護手)
Stump (木妖),4,45,8,Pistol (火槍)
Stump (木妖),4,45,8,Red Potion (紅色藥水)
Stump (木妖),4,45,8,Green Apple (青蘋果)
Stump (木妖),4,45,8,Scroll for Topwear for Defense 10% (上衣防禦力 10% 捲軸)
Stump (木妖),4,45,8,Scroll for Cape for Defense 10% (披風防禦力 10% 捲軸)
Stump (木妖),4,45,8,Tree Branch (樹枝)
Stump (木妖),4,45,8,Adamantium Ore (朱礦石母礦)
Stump (木妖),4,45,8,Emerald Ore (祖母綠母礦)
Slime (綠水靈),6,50,10,White Bandana (白頭巾)
Slime (綠水靈),6,50,10,Blue Jean Shorts (藍牛仔短褲)
Slime (綠水靈),6,50,10,Bronze Aroa Boots (褐短鞋)
Slime (綠水靈),6,50,10,Beige Nitty (褐安全鞋)
Slime (綠水靈),6,50,10,Lemona (魔法手套)
Slime (綠水靈),6,50,10,Leather Purse (皮製手提包)
Slime (綠水靈),6,50,10,Metal Axe (鐵斧)
Slime (綠水靈),6,50,10,Iron Axe (鐵製斧頭)
Slime (綠水靈),6,50,10,Iron Axe (鋼鐵斧)
Slime (綠水靈),6,50,10,Chopping Axe (劈柴斧)
Slime (綠水靈),6,50,10,Spear (長槍)
Slime (綠水靈),6,50,10,Fork on a Stick (叉槍)
Slime (綠水靈),6,50,10,Gold Surfboard (金色衝浪板)
Slime (綠水靈),6,50,10,Steel Knuckler (鐵指虎)
Slime (綠水靈),6,50,10,Red Potion (紅色藥水)
Slime (綠水靈),6,50,10,Green Apple (青蘋果)
Slime (綠水靈),6,50,10,Scroll for Overall Armor for Defense 10% (全身鎧甲防禦力 10% 捲軸)
Slime (綠水靈),6,50,10,Scroll for Bottomwear for Defense 10% (褲裙防禦力 10% 捲軸)
Slime (綠水靈),6,50,10,Scroll for Cape for DEX 100% (披風敏捷卷軸100%)
Slime (綠水靈),6,50,10,Scroll for Cape for Defense 15% (披風防禦力 15% 捲軸)
Slime (綠水靈),6,50,10,Squishy Liquid (綠液球)
Slime (綠水靈),6,50,10,Slime Bubble (綠水靈珠)
Slime (綠水靈),6,50,10,Orihalcon Ore (紫礦石母礦)
Pig (肥肥),7,75,15,Brown Skullcap (褐色皮帽)
Pig (肥肥),7,75,15,Brown Rocky Bandana (褐色洛基頭巾)
Pig (肥肥),7,75,15,Dark Nightshift (黑夜)
Pig (肥肥),7,75,15,Red-Striped T-Shirt (黃紅短T)
Pig (肥肥),7,75,15,Orange Lolica Armor (黃皮製鎧甲)
Pig (肥肥),7,75,15,White Split Skirt (白伽藍裙)
Pig (肥肥),7,75,15,Brown Hard Leather Pants (褐色皮製褲)
Pig (肥肥),7,75,15,Wooden Samurai Sword (幻木劍)
Pig (肥肥),7,75,15,Wooden Mallet (木錘)
Pig (肥肥),7,75,15,Garnier (加尼爾鞋)
Pig (肥肥),7,75,15,Red Potion (紅色藥水)
Pig (肥肥),7,75,15,Green Apple (青蘋果)
Pig (肥肥),7,75,15,Scroll for Shoes for Avoidability 10% (鞋子迴避率 10% 捲軸)
Pig (肥肥),7,75,15,Scroll for Cape for LUK 100% (披風幸運卷軸100%)
Pig (肥肥),7,75,15,Pig's Head (肥肥頭)
Pig (肥肥),7,75,15,Leather (動物皮)
Pig (肥肥),7,75,15,Gold Ore (黃金母礦)
Pig (肥肥),7,75,15,Topaz Ore (黃晶母礦)
Orange Mushroom (菇菇寶貝),7,75,15,Bronze Koif (青銅頭盔)
Orange Mushroom (菇菇寶貝),7,75,15,Brown Rocky Suit (褐色洛基外衣)
Orange Mushroom (菇菇寶貝),7,75,15,White Gomushin (白橡膠鞋)
Orange Mushroom (菇菇寶貝),7,75,15,Brown Hard Leather Boots (褐硬皮鞋)
Orange Mushroom (菇菇寶貝),7,75,15,Red Ninja Sandals (紅忍者涼鞋)
Orange Mushroom (菇菇寶貝),7,75,15,Basic Archer Gloves (青狩獵手套)
Orange Mushroom (菇菇寶貝),7,75,15,Double Axe (雙刃斧)
Orange Mushroom (菇菇寶貝),7,75,15,Spear (長槍)
Orange Mushroom (菇菇寶貝),7,75,15,Red Potion (紅色藥水)
Orange Mushroom (菇菇寶貝),7,75,15,Scroll for Helmet for Defense 60% (頭盔防禦力 60% 捲軸)
Orange Mushroom (菇菇寶貝),7,75,15,Scroll for Shoes for Jump 10% (鞋子跳躍卷軸10%)
Orange Mushroom (菇菇寶貝),7,75,15,Scroll for Cape for Defense 100% (披風防禦力 100% 捲軸)
Orange Mushroom (菇菇寶貝),7,75,15,Orange Mushroom Cap (菇菇寶貝傘)
Orange Mushroom (菇菇寶貝),7,75,15,Bronze Ore (青銅母礦)
Ribbon Pig (緞帶肥肥),10,120,20,Amethyst Earrings (紫水晶耳環)
Ribbon Pig (緞帶肥肥),10,120,20,Silver Leather Hoodwear (銀連帽弓箭手服)
Ribbon Pig (緞帶肥肥),10,120,20,Orange Sporty T-Shirt (橙色運動T恤)
Ribbon Pig (緞帶肥肥),10,120,20,Dark Nightshift (黑夜)
Ribbon Pig (緞帶肥肥),10,120,20,Red-Striped T-Shirt (黃紅短T)
Ribbon Pig (緞帶肥肥),10,120,20,Brown Cotton Lagger (褐色皮外套)
Ribbon Pig (緞帶肥肥),10,120,20,Dark Nightshift Pants (黑夜褲)
Ribbon Pig (緞帶肥肥),10,120,20,White Split Skirt (白伽藍裙)
Ribbon Pig (緞帶肥肥),10,120,20,Brown Lagger Slipper (褐色拖鞋)
Ribbon Pig (緞帶肥肥),10,120,20,Wooden Samurai Sword (幻木劍)
Ribbon Pig (緞帶肥肥),10,120,20,Pistol (火槍)
Ribbon Pig (緞帶肥肥),10,120,20,Red Potion (紅色藥水)
Ribbon Pig (緞帶肥肥),10,120,20,Scroll for Shield for Defense 10% (盾牌防禦力 10% 捲軸)
Ribbon Pig (緞帶肥肥),10,120,20,Pig's Ribbon (蝴蝶結)
Ribbon Pig (緞帶肥肥),10,120,20,Leather (動物皮)
Ribbon Pig (緞帶肥肥),10,120,20,Stiff Feather (堅硬的羽毛)
Ribbon Pig (緞帶肥肥),10,120,20,Mithril Ore (鋰礦石母礦)
Ribbon Pig (緞帶肥肥),10,120,20,Amethyst Ore (紫水晶母礦)
Dark Stump (黑木妖),10,250,18,Bronze Helmet (青銅帽)
Dark Stump (黑木妖),10,250,18,Brown Lagger Cap (灰色萊克帽)
Dark Stump (黑木妖),10,250,18,Single Earring (單邊銀色耳環)
Dark Stump (黑木妖),10,250,18,Green Arianne (綠錦絲緊身衣)
Dark Stump (黑木妖),10,250,18,Yellow Avelin (黃旅行服)
Dark Stump (黑木妖),10,250,18,Green Arianne Skirt (綠錦絲緊身裙)
Dark Stump (黑木妖),10,250,18,Yellow Avelin Skirt (黃旅行裙)
Dark Stump (黑木妖),10,250,18,Stolen Fence (木盾)
Dark Stump (黑木妖),10,250,18,Machete (逆月刀)
Dark Stump (黑木妖),10,250,18,Wooden Staff (木製長杖)
Dark Stump (黑木妖),10,250,18,Pole Arm (鐵戟)
Dark Stump (黑木妖),10,250,18,Steel Knuckler (鐵指虎)
Dark Stump (黑木妖),10,250,18,Red Potion (紅色藥水)
Dark Stump (黑木妖),10,250,18,Orange Potion (橘色藥水)
Dark Stump (黑木妖),10,250,18,Blue Potion (藍色藥水)
Dark Stump (黑木妖),10,250,18,Scroll for Gloves for Accuracy 10% (手套命中率 10% 捲軸)
Dark Stump (黑木妖),10,250,18,Leaf (葉子)
Dark Stump (黑木妖),10,250,18,Steel Ore (鋼鐵母礦)
Dark Stump (黑木妖),10,250,18,Garnet Ore (石榴石母礦)
Dark Stump (黑木妖),10,250,18,Dry Branch (乾枯的樹枝)
Octopus (三眼章魚),12,200,24,Single Earring (單邊銀色耳環)
Octopus (三眼章魚),12,200,24,Brown Corporal (青銅胸甲)
Octopus (三眼章魚),12,200,24,Yellow Arianne (黃錦絲緊身衣)
Octopus (三眼章魚),12,200,24,Brown Corporal Pants (褐色鐵板褲子)
Octopus (三眼章魚),12,200,24,Yellow Arianne Skirt (黃錦絲緊身裙)
Octopus (三眼章魚),12,200,24,Steel Shield (鋼盾)
Octopus (三眼章魚),12,200,24,Battle Shield (戰鬥盾牌)
Octopus (三眼章魚),12,200,24,Wooden Mallet (木錘)
Octopus (三眼章魚),12,200,24,Aqua Snowboard (滄海雪板)
Octopus (三眼章魚),12,200,24,Leather Arms (加固皮護手)
Octopus (三眼章魚),12,200,24,Red Potion (紅色藥水)
Octopus (三眼章魚),12,200,24,Blue Potion (藍色藥水)
Octopus (三眼章魚),12,200,24,Scroll for One-Handed Sword for ATT 10% (單手劍攻擊卷軸10%)
Octopus (三眼章魚),12,200,24,Octopus Leg (章魚腳)
Octopus (三眼章魚),12,200,24,Adamantium Ore (朱礦石母礦)
Green Mushroom (綠菇菇),15,250,26,Brown Winter Hat (褐色高級皮帽)
Green Mushroom (綠菇菇),15,250,26,Old Wisconsin (狗皮帽)
Green Mushroom (綠菇菇),15,250,26,Green Matty (綠星魔法帽)
Green Mushroom (綠菇菇),15,250,26,Single Earring (單邊銀色耳環)
Green Mushroom (綠菇菇),15,250,26,Purple Arianne (紫錦絲緊身衣)
Green Mushroom (綠菇菇),15,250,26,Green Arianne (綠錦絲緊身衣)
Green Mushroom (綠菇菇),15,250,26,Red Nightshift (赤夜)
Green Mushroom (綠菇菇),15,250,26,Grey Able Armor (黑皮製旅行服)
Green Mushroom (綠菇菇),15,250,26,Blue Pao Bottom (藍唐衫褲)
Green Mushroom (綠菇菇),15,250,26,Purple Arianne Skirt (紫錦絲緊身裙)
Green Mushroom (綠菇菇),15,250,26,Red Nightshift Pants (赤夜褲)
Green Mushroom (綠菇菇),15,250,26,Grey Able Skirt (灰旅行皮裙)
Green Mushroom (綠菇菇),15,250,26,Brown Lagger Slipper (褐色拖鞋)
Green Mushroom (綠菇菇),15,250,26,Pan Lid (鍋蓋)
Green Mushroom (綠菇菇),15,250,26,Long Sword (大劍)
Green Mushroom (綠菇菇),15,250,26,Mace (鐵瓜錘)
Green Mushroom (綠菇菇),15,250,26,Iron Axe (鐵製斧頭)
Green Mushroom (綠菇菇),15,250,26,Chopping Axe (劈柴斧)
Green Mushroom (綠菇菇),15,250,26,Zeco (雙天戟)
Green Mushroom (綠菇菇),15,250,26,Aqua Snowboard (滄海雪板)
Green Mushroom (綠菇菇),15,250,26,Composite Bow (鋼鐵弓)
Green Mushroom (綠菇菇),15,250,26,Battle Crossbow (戰鬥弩弓)
Green Mushroom (綠菇菇),15,250,26,Leather Arms (加固皮護手)
Green Mushroom (綠菇菇),15,250,26,Red Potion (紅色藥水)
Green Mushroom (綠菇菇),15,250,26,Orange Potion (橘色藥水)
Green Mushroom (綠菇菇),15,250,26,Blue Potion (藍色藥水)
Green Mushroom (綠菇菇),15,250,26,Scroll for Shoes for Mobility 100% (鞋子移動速度 100% 捲軸)
Green Mushroom (綠菇菇),15,250,26,Scroll for Shield for Defense 10% (盾牌防禦力 10% 捲軸)
Green Mushroom (綠菇菇),15,250,26,Scroll for Cape for DEX 10% (披風敏捷卷軸10%)
Green Mushroom (綠菇菇),15,250,26,Scroll for One-Handed Axe for ATT 10% (單手斧攻擊卷軸10%)
Green Mushroom (綠菇菇),15,250,26,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Green Mushroom (綠菇菇),15,250,26,Green Mushroom Cap (綠菇菇傘)
Green Mushroom (綠菇菇),15,250,26,Silver Ore (銀的母礦)
Green Mushroom (綠菇菇),15,250,26,Orihalcon Ore (紫礦石母礦)
Green Mushroom (綠菇菇),15,250,26,AquaMarine Ore (海藍石母礦)
Green Mushroom (綠菇菇),15,250,26,Emerald Ore (祖母綠母礦)
Green Mushroom (綠菇菇),15,250,26,Animal Fossil (動物骨化石)
Bubbling (藍水靈),15,240,26,Red Apprentice Hat (紅色舊魔法帽)
Bubbling (藍水靈),15,240,26,Blue Nightshift (青夜)
Bubbling (藍水靈),15,240,26,Yellow Able Armor (黃皮製旅行服)
Bubbling (藍水靈),15,240,26,Blue Nightshift Pants (青夜褲)
Bubbling (藍水靈),15,240,26,Brown Able Skirt (褐旅行皮裙)
Bubbling (藍水靈),15,240,26,Blue Jewelry Boots (藍寶石鞋)
Bubbling (藍水靈),15,240,26,Green Lagger Halfglove (綠色皮手套)
Bubbling (藍水靈),15,240,26,Blue Flowery Tube (藍色花紋管)
Bubbling (藍水靈),15,240,26,Wooden Samurai Sword (幻木劍)
Bubbling (藍水靈),15,240,26,Iron Axe (鐵製斧頭)
Bubbling (藍水靈),15,240,26,Chopping Axe (劈柴斧)
Bubbling (藍水靈),15,240,26,Spear (長槍)
Bubbling (藍水靈),15,240,26,Fish Spear (海神叉)
Bubbling (藍水靈),15,240,26,Gold Surfboard (金色衝浪板)
Bubbling (藍水靈),15,240,26,Dellinger Special (迪林格火槍)
Bubbling (藍水靈),15,240,26,Red Potion (紅色藥水)
Bubbling (藍水靈),15,240,26,Blue Potion (藍色藥水)
Bubbling (藍水靈),15,240,26,Scroll for Shoes for Mobility 100% (鞋子移動速度 100% 捲軸)
Bubbling (藍水靈),15,240,26,Scroll for Cape for Defense 60% (披風防禦力 60% 捲軸)
Bubbling (藍水靈),15,240,26,Scroll for Cape for INT 100% (披風智力卷軸100%)
Bubbling (藍水靈),15,240,26,Scroll for Dagger for ATT 10% (短劍攻擊卷軸10%)
Bubbling (藍水靈),15,240,26,Bubbling's Huge Bubble (藍水靈珠)
Bubbling (藍水靈),15,240,26,The Magic Rock (魔法石)
Bubbling (藍水靈),15,240,26,Mithril Ore (鋰礦石母礦)
Bubbling (藍水靈),15,240,26,Sapphire Ore (藍寶石母礦)
Axe Stump (斧木妖),17,300,30,Yellow Starry Bandana (黃星頭巾)
Axe Stump (斧木妖),17,300,30,Blue Robin Hat (藍羽翼帽)
Axe Stump (斧木妖),17,300,30,Amethyst Earrings (紫水晶耳環)
Axe Stump (斧木妖),17,300,30,Orange Split Piece (朱紅伽藍)
Axe Stump (斧木妖),17,300,30,Brown Nightshift (黃夜)
Axe Stump (斧木妖),17,300,30,Blue Avenger (藍飛影甲)
Axe Stump (斧木妖),17,300,30,White Split Pants (白伽藍褲)
Axe Stump (斧木妖),17,300,30,Brown Nightshift Pants (黃夜褲)
Axe Stump (斧木妖),17,300,30,Bronze Aroa Boots (褐短鞋)
Axe Stump (斧木妖),17,300,30,Battle Shield (戰鬥盾牌)
Axe Stump (斧木妖),17,300,30,Wooden Top (木製陀螺)
Axe Stump (斧木妖),17,300,30,Contra Axe (昆德拉斧頭)
Axe Stump (斧木妖),17,300,30,Wizard Wand (法師短杖)
Axe Stump (斧木妖),17,300,30,Old Wooden Staff (古樹長杖)
Axe Stump (斧木妖),17,300,30,Wooden Sword (木劍)
Axe Stump (斧木妖),17,300,30,Wooden Baseball Bat (木球棍)
Axe Stump (斧木妖),17,300,30,Dellinger Special (迪林格火槍)
Axe Stump (斧木妖),17,300,30,Red Potion (紅色藥水)
Axe Stump (斧木妖),17,300,30,Blue Potion (藍色藥水)
Axe Stump (斧木妖),17,300,30,Scroll for One-Handed BW for ATT 10% (單手棍攻擊卷軸10%)
Axe Stump (斧木妖),17,300,30,Firewood (木柴)
Axe Stump (斧木妖),17,300,30,Orihalcon Ore (紫礦石母礦)
Axe Stump (斧木妖),17,300,30,Opal Ore (蛋白石母礦)
Axe Stump (斧木妖),17,300,30,Plant Fossil (植物樹葉化石)
Axe Stump (斧木妖),17,300,30,Dry Branch (乾枯的樹枝)
Ghost Stump (發芽木妖),19,330,33,Red Thief Hood (盜賊紅頭巾)
Ghost Stump (發芽木妖),19,330,33,Blue Feather Hat (藍羽毛帽)
Ghost Stump (發芽木妖),19,330,33,Black Split Piece (黑色開衩上衣)
Ghost Stump (發芽木妖),19,330,33,Black Split (黑伽藍)
Ghost Stump (發芽木妖),19,330,33,Yellow Able Armor (黃皮製旅行服)
Ghost Stump (發芽木妖),19,330,33,Blue Wizard Robe (藍牧師長袍)
Ghost Stump (發芽木妖),19,330,33,Green Plain Robe (綠魔法袍)
Ghost Stump (發芽木妖),19,330,33,Black Split Skirt (黑伽藍裙)
Ghost Stump (發芽木妖),19,330,33,Brown Able Skirt (褐旅行皮裙)
Ghost Stump (發芽木妖),19,330,33,Orange High Boots (黃旅行鞋)
Ghost Stump (發芽木妖),19,330,33,Blue Enamel Boots (藍漆皮鞋)
Ghost Stump (發芽木妖),19,330,33,Dark Savata (黑命中手套)
Ghost Stump (發芽木妖),19,330,33,Green Lagger Halfglove (綠色皮手套)
Ghost Stump (發芽木妖),19,330,33,Iron Axe (鐵製斧頭)
Ghost Stump (發芽木妖),19,330,33,Chopping Axe (劈柴斧)
Ghost Stump (發芽木妖),19,330,33,Red Potion (紅色藥水)
Ghost Stump (發芽木妖),19,330,33,Blue Potion (藍色藥水)
Ghost Stump (發芽木妖),19,330,33,Scroll for Overall Armor for DEX 60% (套服敏捷卷軸60%)
Ghost Stump (發芽木妖),19,330,33,Scroll for Overall Armor for Defense 60% (全身鎧甲防禦力 60% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Scroll for Shoes for Mobility 60% (鞋子移動速度 60% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Scroll for Gloves for Accuracy 60% (手套命中率 60% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Scroll for Shield for Defense 60% (盾牌防禦力 60% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Scroll for Two-Handed Sword for ATT 10% (雙手劍攻擊力 10% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Scroll for Knuckler for ATT 10% (指虎攻擊力 10% 捲軸)
Ghost Stump (發芽木妖),19,330,33,Seedling (苗木)
Ghost Stump (發芽木妖),19,330,33,Bronze Ore (青銅母礦)
Ghost Stump (發芽木妖),19,330,33,Silver Ore (銀的母礦)
Ghost Stump (發芽木妖),19,330,33,Diamond Ore (鑽石母礦)
Ghost Stump (發芽木妖),19,330,33,Dry Branch (乾枯的樹枝)
Blue Mushroom (藍菇菇),20,350,32,Red Loosecap (紅色自由帽)
Blue Mushroom (藍菇菇),20,350,32,Green Burgler (綠防風帽)
Blue Mushroom (藍菇菇),20,350,32,Brown Lagger Cap (灰色萊克帽)
Blue Mushroom (藍菇菇),20,350,32,Brown Double Marine (褐色水手頭巾)
Blue Mushroom (藍菇菇),20,350,32,Brown Pitz Bandana (褐色皮茲頭巾)
Blue Mushroom (藍菇菇),20,350,32,Blue Sergeant (藍軍官鎧甲)
Blue Mushroom (藍菇菇),20,350,32,Red Shivermail (紅硬皮裝)
Blue Mushroom (藍菇菇),20,350,32,Steel Fitted Mail (鋼鐵鎧甲)
Blue Mushroom (藍菇菇),20,350,32,Steel Sergeant Kilt (鋼鐵軍官裙)
Blue Mushroom (藍菇菇),20,350,32,Red Shivermail Skirt (紅硬皮裙)
Blue Mushroom (藍菇菇),20,350,32,Mithril War Boots (鋰礦戰鬥鞋)
Blue Mushroom (藍菇菇),20,350,32,Purple Jewelry Boots (紫寶石鞋)
Blue Mushroom (藍菇菇),20,350,32,Halfmoon Zamadar (半月刃)
Blue Mushroom (藍菇菇),20,350,32,Field Dagger (戰鬥短刀)
Blue Mushroom (藍菇菇),20,350,32,Wizard Staff (法師長杖)
Blue Mushroom (藍菇菇),20,350,32,Iron Axe (鐵製斧頭)
Blue Mushroom (藍菇菇),20,350,32,Chopping Axe (劈柴斧)
Blue Mushroom (藍菇菇),20,350,32,Fork on a Stick (叉槍)
Blue Mushroom (藍菇菇),20,350,32,Mithril Pole Arm (鋰礦戟)
Blue Mushroom (藍菇菇),20,350,32,Orange Potion (橘色藥水)
Blue Mushroom (藍菇菇),20,350,32,White Potion (白色藥水)
Blue Mushroom (藍菇菇),20,350,32,Blue Potion (藍色藥水)
Blue Mushroom (藍菇菇),20,350,32,Magic Potion (魔力藥水)
Blue Mushroom (藍菇菇),20,350,32,Scroll for Bottomwear for Defense 10% (褲裙防禦力 10% 捲軸)
Blue Mushroom (藍菇菇),20,350,32,Scroll for Two-Handed Sword for ATT 10% (雙手劍攻擊力 10% 捲軸)
Blue Mushroom (藍菇菇),20,350,32,Blue Mushroom Cap (藍菇菇傘)
Blue Mushroom (藍菇菇),20,350,32,Gold Ore (黃金母礦)
Blue Mushroom (藍菇菇),20,350,32,Sapphire Ore (藍寶石母礦)
Blue Mushroom (藍菇菇),20,350,32,Topaz Ore (黃晶母礦)
Stirge (蝙蝠),20,300,33,Green Robin Hat (綠羽翼帽)
Stirge (蝙蝠),20,300,33,Steel Corporal (鐵胸甲)
Stirge (蝙蝠),20,300,33,Red Pao (紅唐裝)
Stirge (蝙蝠),20,300,33,Pink Qi Pao (粉紅旗袍)
Stirge (蝙蝠),20,300,33,Brown Cotton Lagger (褐色皮外套)
Stirge (蝙蝠),20,300,33,Beige Carribean (褐色加勒比套裝)
Stirge (蝙蝠),20,300,33,Steel Corporal Pants (鐵板褲)
Stirge (蝙蝠),20,300,33,Red Pao Bottom (紅唐衫褲)
Stirge (蝙蝠),20,300,33,Purple Qi Pao Skirt (紫旗袍裙)
Stirge (蝙蝠),20,300,33,Work Gloves (工地手套)
Stirge (蝙蝠),20,300,33,Ryden (雷電)
Stirge (蝙蝠),20,300,33,Orange Potion (橘色藥水)
Stirge (蝙蝠),20,300,33,Blue Potion (藍色藥水)
Stirge (蝙蝠),20,300,33,Lemon (檸檬)
Stirge (蝙蝠),20,300,33,Scroll for Helmet for INT 100% (頭盔智力卷軸100%)
Stirge (蝙蝠),20,300,33,Scroll for Shoes for Mobility 60% (鞋子移動速度 60% 捲軸)
Stirge (蝙蝠),20,300,33,Scroll for Cape for Defense 10% (披風防禦力 10% 捲軸)
Stirge (蝙蝠),20,300,33,Dark Scroll for Cape for Defense 70% (黑暗披風防禦力 70% 捲軸)
Stirge (蝙蝠),20,300,33,Scroll for One-Handed Axe for Accuracy 60% (單手斧命中卷軸60%)
Stirge (蝙蝠),20,300,33,Scroll for Knuckler for ATT 60% (指虎攻擊力 60% 捲軸)
Stirge (蝙蝠),20,300,33,Stirge Wing (蝙蝠翅膀)
Stirge (蝙蝠),20,300,33,Stiff Feather (堅硬的羽毛)
Stirge (蝙蝠),20,300,33,Steel Ore (鋼鐵母礦)
Stirge (蝙蝠),20,300,33,Garnet Ore (石榴石母礦)
Jr. Necki (青蛇),21,285,38,Steel Sharp Helm (鐵製尖頭具)
Jr. Necki (青蛇),21,285,38,Brown Lamelle (褐十字軍甲)
Jr. Necki (青蛇),21,285,38,Purple Split (紫伽藍)
Jr. Necki (青蛇),21,285,38,Blue Kendo Robe (藍劍道服)
Jr. Necki (青蛇),21,285,38,Brown Ramel Skirt (褐十字軍裙)
Jr. Necki (青蛇),21,285,38,White Split Skirt (白伽藍裙)
Jr. Necki (青蛇),21,285,38,Red Jack Boots (紅皮製長靴)
Jr. Necki (青蛇),21,285,38,Coconut Knife (牙刀)
Jr. Necki (青蛇),21,285,38,Double Tail Knuckler (雙棘指虎)
Jr. Necki (青蛇),21,285,38,Orange Potion (橘色藥水)
Jr. Necki (青蛇),21,285,38,Orange (柳橙)
Jr. Necki (青蛇),21,285,38,Scroll for Bottomwear for Mobility 100% (褲裙移動速度 100% 捲軸)
